"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"1","1094_1095",1,1,0,1,1,0
"2","1095_1096",1,1,0,1,1,0
"3","1096_1",1,1,0,1,1,0
"4","1096_1097",1,1,0,1,1,0
"5","1097_1098",1,1,0,1,1,0
"6","1098_1099",1,1,0,1,1,0
"7","1099_1100",1,1,0,1,1,0
"8","1100_2",1,1,0,1,1,0
"9","1100_3",1,1,0,1,1,0
"10","1099_1101",1,1,0,1,1,0
"11","1101_4",1,1,0,1,1,0
"12","1101_5",1,1,0,1,1,0
"13","1098_1102",1,1,0,1,1,0
"14","1102_1103",1,1,0,1,1,0
"15","1103_6",1,1,0,1,1,0
"16","1103_7",1,1,0,1,1,0
"17","1102_1104",1,1,0,1,1,0
"18","1104_8",1,1,0,1,1,0
"19","1104_9",1,1,0,1,1,0
"20","1097_1105",1,1,0,1,1,0
"21","1105_1106",1,1,0,1,1,0
"22","1106_10",1,1,0,1,1,0
"23","1106_11",1,1,0,1,1,0
"24","1105_1107",1,1,0,1,1,0
"25","1107_12",1,1,0,1,1,0
"26","1107_13",1,1,0,1,1,0
"27","1095_1108",1,1,0,1,0.998,0
"28","1108_14",1,0,1,0.998,1,1
"29","1108_1109",1,1,0,0.998,1,1
"30","1109_15",1,1,0,1,1,0
"31","1109_16",1,1,0,1,1,0
"32","1094_1110",1,1,0,1,1,0
"33","1110_1111",1,1,0,1,1,0
"34","1111_1112",1,1,0,1,0.996,0
"35","1112_17",1,0,1,0.996,1,1
"36","1112_1113",1,1,0,0.996,1,1
"37","1113_1114",1,1,0,1,1,0
"38","1114_18",1,1,0,1,1,0
"39","1114_19",1,1,0,1,1,0
"40","1113_20",1,1,0,1,1,0
"41","1111_1115",1,1,0,1,1,0
"42","1115_1116",1,1,0,1,1,0
"43","1116_1117",1,1,0,1,1,0
"44","1117_1118",1,1,0,1,1,0
"45","1118_1119",1,1,0,1,1,0
"46","1119_21",1,1,0,1,1,0
"47","1119_22",1,1,0,1,1,0
