"","gene","lambda","model","AIC","p_value","slope","slope_se","intercept","intercept_se","r_squared"
"1","dnaQ",0.967044294931909,"linear",47.1081709624454,0.334921669099927,0.124385545132379,0.128546521863849,-0.523956097840314,0.126230178592367,-0.000458419161946333
"2","dnaQ",0.967044294931909,"pagel",-85.4841920090487,0.573367735898331,-0.0611887968562693,0.108405278229024,-0.451644705350884,0.139418035322928,0.00161485110502012
"3","mutH",0.971811752979551,"linear",42.9878674579347,0.0256927253626116,0.151498065368791,0.0671762554973058,-0.425655474372491,0.0253902380077724,0.0285567485473581
"4","mutH",0.971811752979551,"pagel",-85.3024606132268,0.721145951476452,-0.0552284620961105,0.154417112473205,-0.499288781146747,0.107809014320595,0.00456251106902187
"5","mutL",0.968542740898447,"linear",45.0377004247177,0.0851738012059259,0.105579385991429,0.0608922063062742,-0.489984679341398,0.0549477758505049,0.0142285645593603
"6","mutL",0.968542740898447,"pagel",-87.7225154335938,0.111794223937164,0.243822620126722,0.152349979532277,-0.687909338690037,0.157627527996669,0.100719912388815
"7","mutM",0.968077214976086,"linear",42.4099852189865,0.0185424555921749,0.143740915623468,0.0603234244875423,-0.521059067756059,0.0544345197578233,0.032558339843513
"8","mutM",0.968077214976086,"pagel",-86.7421219212465,0.213043386503865,0.131655110541995,0.105238086366648,-0.581494215103533,0.124511340031197,0.0333553073991299
"9","mutS",0.969962175954655,"linear",46.5445521269819,0.223253494015035,0.0760496201907122,0.0621611571201102,-0.466482224476463,0.0563383330087559,0.00356117861359273
"10","mutS",0.969962175954655,"pagel",-85.3249709109454,0.698579943822449,0.0549776131565218,0.141678089810835,-0.544729164129382,0.156150626107869,0.00563170983490704
"11","mutT",0.904856488981072,"linear",22.0473435953638,4.32255181857833e-07,0.398909600192311,0.075156758472831,-0.765880888065688,0.0715823386890038,0.163515757077064
"12","mutT",0.904856488981072,"pagel",-85.8842588055921,0.335246829641054,0.0763295126858076,0.0789361755953135,-0.56904399299856,0.125767797365485,0.00655083180683335
"13","mutY",0.967020721628974,"linear",23.0036486389002,7.03562573476341e-07,0.441937016769406,0.0849871331775979,-0.814382980605683,0.0818956507107443,0.157782382743183
"14","mutY",0.967020721628974,"pagel",-88.4674694486356,0.0700952733341017,0.369163589624936,0.202231538962295,-0.848203407876415,0.217418737570659,0.119721212113137
"15","nfi",0.945216757053196,"linear",37.7106152658412,0.00143535979491065,0.199112098184523,0.0612070581709497,-0.438146396151439,0.0253421296994618,0.0644934051179686
"16","nfi",0.945216757053196,"pagel",-86.6494035600436,0.211681727008232,0.0671948800906894,0.05355138214689,-0.514829396288757,0.10520457105327,0.00837834690855737
"17","ung",0.97069246427849,"linear",47.871966250954,0.671707688480744,0.0311039078627534,0.0732352024169955,-0.431339898370654,0.0686449233054819,-0.00593151694417271
"18","ung",0.97069246427849,"pagel",-85.2791855990109,0.746533657716043,-0.0290065250803293,0.0895647642065595,-0.482162475829385,0.122264560366699,0.00112996905001114
