"","Variables","PGLS_Estimate","PGLS_St_error","PGLS_t_value","PGLS_p_value","LM_Estimate","LM_St_error","LM_t_value","LM_p_value"
"1","(Intercept)",0.365121764384532,0.182715958760086,1.99830253942926,0.0468716977983343,0.367289304547206,0.185792887675686,1.97687494468752,0.0492714905939549
"2","dnaQ",-0.138020788855696,0.123302806543892,-1.11936453617189,0.264162495502873,-0.110285702703551,0.101086327224935,-1.09100514116163,0.27643240717592
"3","mutH",0.0220973275003981,0.110434740766095,0.200093986250224,0.841585432596198,0.0744641689815258,0.0577610070105933,1.28917712545886,0.198654428073509
"4","mutM",-0.0944597319551032,0.0654627487748116,-1.44295395049847,0.15040587381683,-0.0962876710883516,0.0449047985415067,-2.14426239991591,0.0330792405748249
"5","mutS",-0.0675402493773587,0.114083677632502,-0.5920237739436,0.554421272239999,0.0690392522168367,0.0530625921405242,1.3010908331429,0.194552283548829
"6","mutT",-0.0125697108359475,0.104323418603144,-0.120487911575865,0.904202764465777,-0.168217342540005,0.0924112617980134,-1.82031214883402,0.0700341600917406
"7","mutY",0.00190335899699022,0.13048271393331,0.014587058619604,0.988374380032142,0.042944797222918,0.108529416987246,0.395697299543814,0.692701627865874
"8","nfi",0.00598501282724926,0.0575441798419561,0.104007266133378,0.91725501288022,-0.0368714657761938,0.0518517732755934,-0.711093631845936,0.477759467053699
"9","ung",-0.0190351798811694,0.0580999072444123,-0.327628403967892,0.743493277617676,-0.00296295433331074,0.0425574205418437,-0.0696225075577003,0.944555685906818
"10","uvrA",NA,NA,NA,NA,-0.211596662942455,0.168266067900686,-1.25751237657341,0.209866031868111
"11","uvrD",NA,NA,NA,NA,0.172781631134391,0.182469458420667,0.946907129718434,0.344697446598822
