"ncbi_name","phylotree_tip_label","img_id","ncbi_acc","families","uvrA","mutT","mutY","mutL","mutS","mutH","dnaQ","ung","mutM","uvrD","nfi","Ts/Tv bias"," AT --> GC bias"
"Coprothermobacter proteolyticus DSM 5265","t643348530",643348530,"GCA_000020945.1","Firmicutes",1,1,1,1,1,0,0,0,0,1,1,0.232102984694789,-0.0146439658999484
"Thermosipho melanesiensis BI429","t640753057",640753057,"GCA_000016905.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Thermosipho africanus TCF52B","t643348583",643348583,"GCA_000021285.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Fervidobacterium nodosum Rt17-B1","t640753026",640753026,"GCA_000017545.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Fervidobacterium pennivorans DSM 9078","t2507149014",2507149014,"GCA_000235405.3","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Pseudothermotoga lettingae TMO","t641228511",641228511,"GCA_000017865.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Pseudothermotoga thermarum DSM 5069","t2503508007",2503508007,"GCA_000217815.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Thermotoga neapolitana DSM 4359","t643348584",643348584,"GCA_000018945.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Thermotoga sp. RQ2","t642487181",642487181,"GCA_000019625.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Marinitoga piezophila KA3","t2508501120",2508501120,"GCA_000255135.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Petrotoga mobilis SJ95","t641228500",641228500,"GCA_000018605.1","Thermotogae",1,0,1,1,1,0,1,0,0,1,1,-0.0765948139661146,0.216382204567753
"Kosmotoga olearia TBF 19.5.1","t644736379",644736379,"GCA_000023325.1","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Mesotoga prima MesG1.Ag.4.2","t2510065086",2510065086,"GCA_000147715.3","Thermotogae",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Thermodesulfobium narugense DSM 14796","t2504756006",2504756006,"GCA_000212395.1","Firmicutes",1,1,1,0,0,0,0,0,0,1,1,0.501968246498051,0.104970391355603
"Dictyoglomus thermophilum H-6-12","t643348542",643348542,"GCA_000020965.1","Dictyoglomia",1,1,1,1,1,0,0,0,0,1,1,0.232102984694789,-0.0146439658999484
"Dictyoglomus turgidum DSM 6724","t643348543",643348543,"GCA_000021645.1","Dictyoglomia",1,1,1,1,1,0,0,0,0,1,1,0.232102984694789,-0.0146439658999484
"Anaerobaculum mobile DSM 13181","t2509601011",2509601011,"GCA_000266925.1","Synergistia",1,1,1,0,0,0,0,0,0,1,1,0.501968246498051,0.104970391355603
"Thermovirga lienii DSM 17291","t2505119043",2505119043,"GCA_000233775.1","Synergistia",1,1,1,1,1,0,0,0,0,1,1,0.232102984694789,-0.0146439658999484
"Thermanaerovibrio acidaminovorans DSM 6589","t646311961",646311961,"GCA_000024905.1","Synergistia",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Aminobacterium colombiense DSM 12261","t646564503",646564503,"GCA_000025885.1","Synergistia",1,1,1,1,1,0,0,0,0,1,1,0.232102984694789,-0.0146439658999484
"Acidaminococcus fermentans DSM 20731","t646311901",646311901,"GCA_000025305.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Acidaminococcus intestini RyC-MR95","t2511231106",2511231106,"GCA_000230275.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Veillonella parvula DSM 2008","t646311965",646311965,"GCA_000024945.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Thermincola potens JR","t646564578",646564578,"GCA_000092945.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Candidatus Desulforudis audaxviator MP104C","t641522610",641522610,"GCA_000018425.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,1,0.187070582296681,-0.0105082702913703
"Ammonifex degensii KC4","t646311904",646311904,"GCA_000024605.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,1,0.187070582296681,-0.0105082702913703
"Desulfotomaculum reducens MI-1","t640069310",640069310,"GCA_000016165.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Desulfotomaculum ruminis DSM 2154","t650716033",650716033,"GCA_000215085.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Pelotomaculum thermopropionicum SI","t640427128",640427128,"GCA_000010565.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Desulfotomaculum gibsoniae DSM 7213","t2508501002",2508501002,"GCA_000233715.3","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Desulfotomaculum acetoxidans DSM 771","t644736351",644736351,"GCA_000024205.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Carboxydothermus hydrogenoformans Z-2901","t637000060",637000060,"GCA_000012865.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Syntrophothermus lipocalidus DSM 12680","t646564577",646564577,"GCA_000092405.1","Firmicutes",1,1,1,1,1,0,0,0,1,1,0,0.248877932566838,0.0121532874299919
"Syntrophomonas wolfei subsp. wolfei str. Goettingen G311","t637000316",637000316,"GCA_000014725.1","Firmicutes",1,1,1,1,1,0,0,0,1,1,0,0.248877932566838,0.0121532874299919
"Moorella thermoacetica ATCC 39073","t637000167",637000167,"GCA_000013105.1","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Dehalobacter restrictus DSM 9455","t2510065016",2510065016,"GCA_000512895.1","Firmicutes",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Syntrophobotulus glycolicus DSM 8271","t649633098",649633098,"GCA_000190635.1","Firmicutes",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Desulfosporosinus acidiphilus SJ4","t2506783061",2506783061,"GCA_000255115.3","Firmicutes",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Desulfosporosinus orientis DSM 765","t2508501136",2508501136,"GCA_000235605.1","Firmicutes",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Desulfosporosinus meridiei DSM 13257","t2510065044",2510065044,"GCA_000231385.3","Firmicutes",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Desulfitobacterium dichloroeliminans LMG P-21439","t2507149019",2507149019,"GCA_000243135.3","Firmicutes",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Desulfitobacterium dehalogenans ATCC 51507","t2507262031",2507262031,"GCA_000243155.3","Firmicutes",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Desulfitobacterium hafniense Y51","t637000093",637000093,"GCA_000010045.1","Firmicutes",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Desulfitobacterium metallireducens DSM 15288","t2507149024",2507149024,"GCA_000231405.3","Firmicutes",1,1,1,1,1,0,1,0,1,1,0,0.185541043391027,-0.00667357988084611
"Heliobacterium modesticaldum Ice1","t641522632",641522632,"GCA_000019165.1","Firmicutes",1,0,1,1,1,0,1,0,1,1,0,-0.0598198660940652,0.243179457897693
